,Unnamed: 0,a-beta
0,25266,aba
1,26517,abad
2,1,abadi
3,22566,abah
4,2,abahan
5,3,abakus
6,6,abam
7,20530,abang
8,7,abar
9,8,abdi
10,22689,abdul
11,18664,abdullah
12,26408,abdurahman
13,27031,abdurrahman
14,9,abdusen
15,21398,abi
16,11,abir
17,21882,abis
18,12,abiti
19,13,abjad
20,23538,abk
21,14,ablasi
22,15,ablatif
23,21110,abrasi
24,17,abrit-abritan
25,14556,absen
26,18,abses
27,28044,absolut
28,20292,absorber
29,20,absorbsi
30,21,absorptans
31,22,absorptivitas
32,23,abstinensi
33,24,absurd
34,25,absurdisme
35,26,absurditas
36,17543,abt
37,27,abu
38,19222,abubakar
39,28,abuh
40,24942,ac
41,27504,academy
42,29,acak
43,30,acapkali
44,31,acara
45,19694,acaranya
46,21581,accessible
47,32,accompli
48,24225,account
49,20250,ace
50,26746,aceh
51,28132,achmad
52,34,aci-acinya
53,35,acuan
54,36,acuh
55,37,ad
56,17559,ada
57,38,ada-adanya
58,39,ada-adanyakah
59,40,adab
60,22301,adajeddah
61,41,adakalanya
62,20642,adakan
63,18412,adalah
64,24234,adalahprovincie
65,27085,adam
66,23772,adanya
67,43,adaptabilitas
68,44,adaptasi
69,14924,adapun
70,45,adas
71,20576,adat
72,23686,added
73,21955,ade
74,47,adegan
75,48,adelfogami
76,49,adelfoparasit
77,50,adenovirus
78,51,adhesif
79,20285,adhigana
80,20352,adhitya
81,20510,adi
82,52,adi-buddha
83,53,adiaksa
84,54,adiaktinik
85,25158,adib
86,55,adibangkit
87,56,adibintang
88,19128,adidaya
89,25700,adik
90,58,adikodrati
91,59,adiksimba
92,25154,adil
93,20858,adiluhung
94,60,adimanusia
95,61,adipektomi
96,62,adipenghantar
97,63,adiposa
98,64,adipositas
99,24945,adipura
100,23605,adiputro
101,65,aditif
102,24725,adiyah
103,66,adjektival
104,24672,adjudicator
105,67,adjudikasi
106,17634,administrasi
107,21614,administrasinya
108,68,administratif
109,69,administrator
110,70,administratur
111,23115,admit
112,71,adneksitis
113,27918,adnyana
114,28112,adonara
115,72,adopsi
116,73,adpertensi
117,74,adrenalektomi
118,75,adrenalina
119,76,adrenergik
120,77,adstringen
121,78,adu
122,79,aduan
123,20284,aduh
124,16499,adum
125,80,adutan
126,81,adveksi
127,82,adventisia
128,20674,adventure
129,83,advertensi
130,24210,advertising
131,18456,advise
132,22311,advisory
133,17430,adwi
134,20052,ae
